AS번호,접수일시,처리상태,처리완료일,주문번호,고객명,고객연락처,제품명,문제유형,증상설명,처리내용,처리결과,배송비,수리비,부품비,총비용,메모
cmkw95omt0eg3o40s3bopr3ik,2026-01-27T07:05:56.213Z,AS,,,,,?4,POWER,"","",,0,0,0,0,""
cmkvvhrtl0efyo40sdjk5scwh,2026-01-27T00:43:25.594Z,AS,,,,,?4,SENSOR,"","",,0,0,0,0,""
cmkuui6xu0db2o40sd84opgkk,2026-01-26T07:27:59.395Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkugbw2h022vo40sramyzty3,2026-01-26T00:51:10.745Z,AS,,,,,?1+1,NOISE,"","",,0,0,0,0,""
cmkug2s8b022so40sb0isatsy,2026-01-26T00:44:05.868Z,AS,,,,,?1+1,OTHER,"","",,0,0,0,0,""
cmkug1h8j022po40slyczbr52,2026-01-26T00:43:04.964Z,IN_PROGRESS,,,,,??4,OTHER,"","",,0,0,0,0,""
cmkqiqfzz0222o40sjdpar3wo,2026-01-23T06:47:24.287Z,AS,,,,,??3,NOISE,"","",,0,0,0,0,""
cmkq4w7dj021zo40su79pdn09,2026-01-23T00:19:58.424Z,EXCHANGE,,,,,??1+1,ODOR,"","",,0,0,0,0,""
cmkp09bz2021wo40skiuiv4re,2026-01-22T05:22:26.655Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkp08bg9021to40s4zdjo0pn,2026-01-22T05:21:39.321Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkoxwogf021ro40sj08f0czt,2026-01-22T04:16:37.072Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkoxvuly021oo40sn7nqmpqa,2026-01-22T04:15:58.390Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmknce15o020oo40sy1m60ijs,2026-01-21T01:26:28.956Z,AS,,,,,?4,POWER,"","",,0,0,0,0,""
cmkncd2r3020lo40sxb92uatq,2026-01-21T01:25:44.367Z,AS,,,,,??4,OTHER,"","",,0,0,0,0,""
cmknao6g9020io40sxo5jhemf,2026-01-21T00:38:23.145Z,AS,,,,,??4,PERFORMANCE,"","",,0,0,0,0,""
cmkm9p02601yao40s8tm2zt6p,2026-01-20T07:23:15.727Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm9p02101y8o40sxpmi38qf,2026-01-20T07:23:15.721Z,AS,,,,,?,OTHER,"","",,0,0,0,0,""
cmkm9p01w01y6o40sc4pw9msb,2026-01-20T07:23:15.716Z,AS,,,,,?2,OTHER,"","",,0,0,0,0,""
cmkm9p01r01y4o40sx8vnsw75,2026-01-20T07:23:15.711Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm9p01l01y2o40sqhucci83,2026-01-20T07:23:15.706Z,AS,,,,,?,OTHER,"","",,0,0,0,0,""
cmkm9p01g01y0o40stftg9zsw,2026-01-20T07:23:15.700Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm9p01a01xyo40sqjcz52p7,2026-01-20T07:23:15.694Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm9p01501xwo40s4gav2z8y,2026-01-20T07:23:15.689Z,AS,,,,,?2 ?+?,OTHER,"","",,0,0,0,0,""
cmkm9p00z01xuo40s9mnjbifg,2026-01-20T07:23:15.684Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm9p00u01xso40sfi3h90p2,2026-01-20T07:23:15.678Z,AS,,,,,?,OTHER,"","",,0,0,0,0,""
cmkm9p00p01xqo40s6p8dhprq,2026-01-20T07:23:15.673Z,AS,,,,,?,OTHER,"","",,0,0,0,0,""
